ранг	ранг_в_группе	расстояние	сигнатура	d_ab	d_L	ловушка	d_ловушки	L	a	b	C	цвет_измерен	track	t_best	t0	t1	bbox	score	lat	lon	alt
12	12	1.697	рюкзак-синий	12.6	17.3	снег-в-тени	0.889	56.1	-3.0	-2.0	3.6	bbox	11	8.0	8.0	11.0	1030,1065,22,15	638.0	39.4861397	73.5856373	4439.8
13	13	0.846	палка-ручка-пробка	6.7	3.1	лишайник-жёлтый-на-камне	0.888	78.8	8.0	17.0	18.8	bbox	12	13.0	13.0	13.0	1075,691,23,20	591.9	39.4861384	73.5856385	4439.9
14	14	1.400	стакан-марка-красная	6.4	32.2	снег-розовый	0.644	82.0	6.0	5.0	7.8	bbox	13	6.0	6.0	8.0	177,923,18,20	575.7	39.4861398	73.5856369	4439.8
15	15	0.926	стакан-марка-красная	6.7	11.0	снег-в-тени	1.028	38.8	5.0	-2.0	5.4	bbox	14	6.0	6.0	7.0	471,113,24,12	557.7	39.4861398	73.5856369	4439.8
16	16	1.434	стакан-марка-красная	11.4	4.3	снег-в-тени	0.783	54.1	0.0	-2.0	2.0	bbox	15	2.0	1.0	3.0	245,694,16,17	552.4	39.4861406	73.5856367	4439.8
17	17	1.398	стакан-марка-красная	11.2	0.4	снег-в-тени	0.877	49.4	0.0	-1.0	1.0	bbox	16	0.0	0.0	0.0	145,1063,11,17	549.2	39.4861410	73.5856368	4439.8
18	18	1.866	стакан-марка-красная	13.2	24.7	снег-освещённый	0.286	74.5	-2.0	-1.0	2.2	bbox	17	11.0	11.0	11.0	0,970,7,19	547.0	39.4861389	73.5856385	4439.9
19	19	1.641	стакан-марка-красная	11.7	20.8	порода-охристая	0.615	29.0	15.0	12.0	19.2	bbox	18	10.0	10.0	10.0	675,841,14,16	543.9	39.4861392	73.5856382	4439.8
20	20	0.727	стакан-марка-красная	5.3	8.2	порода-охристая	0.961	41.6	7.0	4.5	8.3	bbox	19	4.0	2.0	4.0	1309,353,15,18	537.2	39.4861401	73.5856369	4439.8
21	21	1.613	рюкзак-синий	12.2	15.1	порода-в-тени	0.213	23.7	-1.0	-2.0	2.2	bbox	20	0.0	0.0	0.0	1673,365,12,16	516.9	39.4861410	73.5856368	4439.8
