ранг	ранг_в_группе	расстояние	сигнатура	d_ab	d_L	ловушка	d_ловушки	L	a	b	C	цвет_измерен	track	t_best	t0	t1	bbox	score	lat	lon	alt
1563	1563	0.650	стакан-марка-красная	3.4	13.9	порода-в-тени	1.368	35.9	8.0	-0.5	8.0	bbox	1562	145.1	145.1	145.1	1361,366,4,5	59.2	39.4863290	73.5937840	4927.5
1564	1564	0.850	стакан-марка-красная	6.8	0.2	порода-охристая	0.852	49.6	7.0	6.5	9.6	bbox	1563	194.2	194.2	194.2	411,201,4,6	58.6	39.4863260	73.5937830	4927.4
1565	1565	0.911	рюкзак-синий	5.8	15.3	снег-в-тени	0.359	54.1	-2.0	-9.0	9.2	bbox	1564	109.1	109.1	109.1	140,13,5,4	58.0	39.4863270	73.5937820	4927.5
1566	1566	1.213	стакан-марка-красная	7.2	22.7	порода-охристая	0.815	27.1	7.0	7.0	9.9	bbox	1565	224.2	222.2	224.2	1803,331,5,4	57.8	39.4863270	73.5937830	4927.5
1567	1567	1.805	стакан-марка-красная	11.0	32.6	снег-освещённый	0.137	82.4	0.0	0.0	0.0	bbox	1566	93.1	93.1	94.1	1473,145,6,4	57.3	39.4863270	73.5937820	4927.5
1568	1568	1.894	стакан-марка-красная	14.0	20.0	порода-в-тени	0.519	29.8	-3.0	2.0	3.6	bbox	1567	206.2	206.2	206.2	9,85,5,5	56.7	39.4863270	73.5937840	4927.5
1569	1569	0.735	стакан-марка-красная	3.6	16.3	порода-в-тени	1.335	33.5	8.0	-1.0	8.1	bbox	1568	224.2	217.2	224.2	653,629,5,4	56.3	39.4863270	73.5937830	4927.5
1570	1570	1.977	рюкзак-синий	13.8	26.8	порода-в-тени	0.308	12.0	-2.0	-0.5	2.1	bbox	1569	88.1	88.1	88.1	121,649,4,4	56.1	39.4863270	73.5937830	4927.5
1571	1571	0.739	стакан-марка-красная	2.1	19.4	порода-охристая	1.366	30.4	9.0	0.5	9.0	bbox	1570	147.1	146.1	151.2	0,721,5,4	55.3	39.4863290	73.5937850	4927.5
1572	1572	1.818	стакан-марка-красная	11.2	32.6	снег-освещённый	0.185	82.4	0.0	-1.0	1.0	bbox	1571	98.1	98.1	98.1	459,351,6,3	55.2	39.4863270	73.5937810	4927.5
