track	t_best	t0	t1	bbox	score	lat	lon	alt
178	16.0	16.0	16.0	1795,1039,13,8	112.1			
179	48.0	48.0	48.0	1733,621,6,10	111.0			
180	79.0	78.0	79.0	1227,1038,7,7	109.0			
181	25.0	25.0	25.0	1297,175,8,10	108.6			
182	45.0	45.0	45.0	1013,929,8,8	108.3			
183	20.0	16.0	20.0	1735,788,5,13	107.5			
184	51.0	49.0	51.0	1799,25,2,16	104.5			
185	99.0	99.0	99.0	417,195,6,6	104.3			
186	29.0	29.0	29.0	1883,1073,6,7	103.8			
187	72.0	70.0	73.0	1511,893,10,6	103.7			
188	19.0	19.0	19.0	1493,616,3,10	103.4			
189	47.0	47.0	47.0	1917,259,3,10	103.4			
